타순,선수명,포지션,,,,,,,,,,,
1,이명기,RF,0.332,115,512,464,79,154,24,4,9,63,28
2,김주찬,1B,0.309,122,478,440,78,136,39,2,12,70,31
3,버나디나,CF,0.32,139,621,557,118,178,26,8,27,111,41
4,최형우,LF,0.342,142,629,514,98,176,36,3,26,120,96
5,안치홍,2B,0.316,132,545,487,95,154,29,2,21,93,43
6,나지완,DH,0.301,137,551,459,85,138,20,3,27,94,62
7,이범호,3B,0.272,115,447,382,57,104,14,0,25,89,52
8,김선빈,SS,0.37,137,529,476,84,176,34,1,5,64,39
9,김민식,C,0.222,137,392,352,39,78,9,2,4,40,26
10,헥터,P,0.279,3.48,30,20,5,0,0,201.6666667,149,1.32,
순번,선수명,포지션,,,,,,,,,,,
1,서동욱,2B,0.282,125,366,319,49,90,21,1,7,48,33
2,최원준,3B,0.308,72,174,156,27,48,15,0,3,27,10
3,김주형,3B,0.17,57,116,106,11,18,5,0,0,10,8
4,김호령,CF,0.267,98,105,90,31,24,6,1,1,11,9
5,한승택,C,0.229,96,91,83,7,19,2,1,0,7,6
6,신종길,RF,0.241,64,90,83,13,20,5,1,1,10,3
7,양현종,P,0.278,3.44,31,20,6,0,0,193.3333333,158,1.31,
8,팻딘,P,0.304,4.14,30,9,7,0,0,176,143,1.42,
9,임기영,P,0.294,3.65,23,8,6,0,0,118.3333333,73,1.32,
10,김윤동,P,0.234,4.59,65,7,4,11,6,80.33333333,66,1.46,
11,정용운,P,0.255,5.92,25,3,2,0,0,59.33333333,32,1.57,
12,홍건희,P,0.346,6.41,31,1,1,0,0,59,41,1.76,
13,박진태,P,0.319,6.55,38,0,1,3,2,57.66666667,24,1.65,
14,임창용,P,0.263,3.78,51,8,6,7,9,50,58,1.46,
15,고효준,P,0.28,4.28,40,3,1,0,4,40,35,1.65,
16,심동섭,P,0.311,5.68,52,2,2,2,11,50.66666667,50,1.68,
17,김세현,P,0.31,5.4,48,1,5,18,7,50,47,1.6,
