타순,선수명,포지션,,,,,,,,,,,
1,이대형,LF,0.267,100,366,337,51,90,8,3,0,24,24
2,정현,SS,0.3,124,399,350,45,105,20,3,6,42,18
3,로하스,CF,0.301,83,367,336,52,101,27,3,18,56,23
4,윤석민,1B,0.312,142,586,538,90,168,30,1,20,105,33
5,박경수,2B,0.262,131,511,442,62,116,27,1,15,66,57
6,유한준,RF,0.306,133,497,445,52,136,19,0,13,68,45
7,장성우,C,0.231,118,348,294,28,68,11,1,8,46,43
8,오태곤,1B,0.283,135,410,374,53,106,29,1,9,42,16
9,심우준,3B,0.287,103,303,286,38,82,15,2,4,26,8
10,로치,P,0.304,4.69,28,4,15,0,0,165,99,1.58,
순번,선수명,포지션,,,,,,,,,,,
1,이진영,DH,0.289,103,285,263,28,76,26,1,2,31,17
2,이해창,C,0.272,114,283,254,33,69,11,0,11,44,19
3,박기혁,SS,0.238,97,263,235,22,56,11,1,2,18,16
4,하준호,LF,0.224,101,226,196,31,44,11,1,3,18,21
5,김동욱,1B,0.287,83,223,209,28,60,9,0,4,24,6
6,오정복,LF,0.354,81,213,195,24,69,13,0,2,16,9
7,피어밴드,P,0.251,3.04,26,8,10,0,0,160,132,1.15,
8,고영표,P,0.299,5.08,25,8,12,0,1,141.6666667,125,1.31,
9,정성곤,P,0.333,8.11,26,3,12,0,0,107.6666667,72,1.78,
10,주권,P,0.306,6.61,39,5,6,1,3,81.66666667,47,1.62,
11,류희운,P,0.303,7.67,24,4,4,0,0,81,52,1.88,
12,심재민,P,0.289,5.18,64,1,7,0,13,74.66666667,69,1.57,
13,이상화,P,0.273,3.95,70,4,3,6,4,66,57,1.27,
14,엄상백,P,0.242,4.15,52,1,3,0,8,52,39,1.35,
15,홍성용,P,0.289,6.23,37,0,2,0,1,39,22,1.56,
16,김사율,P,0.336,7.27,19,3,3,0,2,34.66666667,28,1.7,
17,김재윤,P,0.283,5.79,41,3,5,15,0,37.33333333,31,1.39,
