타순,선수명,포지션,,,,,,,,,,,
1,이정후,CF,0.324,144,622,552,111,179,29,8,2,47,60
2,고종욱,LF,0.312,123,453,426,70,133,24,8,8,54,22
3,채태인,DH,0.322,109,384,342,46,110,23,1,12,62,34
4,초이스,RF,0.307,46,201,176,37,54,8,1,17,42,17
5,김민성,3B,0.282,133,530,472,59,133,26,1,15,78,43
6,김하성,SS,0.302,141,601,526,90,159,36,3,23,114,58
7,서건창,2B,0.332,139,615,539,87,179,28,3,6,76,67
8,박동원,C,0.27,103,284,256,33,69,9,0,11,39,17
9,장영석,1B,0.269,60,212,186,30,50,14,0,12,38,17
10,밴헤켄,P,0.26,3.77,24,8,7,0,0,138.3333333,140,1.32,
순번,선수명,포지션,,,,,,,,,,,
1,이택근,RF,0.278,100,269,241,27,67,15,1,3,29,25
2,허정협,RF,0.237,83,266,228,35,54,9,0,9,39,24
3,박정음,CF,0.243,81,162,140,26,34,4,1,2,15,9
4,김웅빈,1B,0.252,67,142,135,18,34,8,0,3,19,6
5,주효상,C,0.195,64,129,118,10,23,5,0,1,9,9
6,김태완,DH,0.311,46,100,90,14,28,5,0,4,7,9
7,최원태,P,0.276,4.46,25,11,7,0,0,149.3333333,161,1.31,
8,브리검,P,0.289,4.38,24,10,6,0,0,144,166,1.33,
9,신재영,P,0.282,4.54,34,6,7,1,2,125,137,1.3,
10,한현희,P,0.254,4.47,38,5,6,5,5,106.6666667,105,1.14,
11,김성민,P,0.291,4.93,33,4,3,0,1,87.66666667,104,1.64,
12,정대현,P,0.332,7.06,17,3,8,0,0,66.33333333,91,1.72,
13,김상수,P,0.253,3.82,60,0,7,15,9,61.33333333,59,1.32,
14,금민철,P,0.351,6.33,36,4,4,0,3,54,81,2.11,
15,이보근,P,0.29,5.47,55,6,2,6,18,52.66666667,62,1.5,
16,윤영삼,P,0.321,5.62,28,1,4,1,0,49.66666667,67,1.69,
17,오주원,P,0.312,4.76,57,2,7,1,18,73.66666667,96,1.51,
