타순,선수명,포지션,,,,,,,,,,,
1,박해민,CF,0.284,144,638,570,96,162,25,8,7,54,50
2,김헌곤,LF,0.264,123,404,356,51,94,13,2,9,47,29
3,구자욱,RF,0.31,144,647,564,108,175,39,10,21,107,63
4,러프,1B,0.315,134,591,515,90,162,38,0,31,124,60
5,이승엽,DH,0.28,135,533,472,65,132,30,5,24,87,47
6,이원석,3B,0.265,121,459,411,55,109,20,1,18,62,34
7,조동찬,2B,0.289,122,393,353,35,102,23,0,10,46,22
8,이지영,C,0.238,105,336,302,31,72,10,2,0,26,20
9,강한울,SS,0.303,135,448,412,58,125,9,3,0,24,26
10,윤성환,P,0.271,4.28,28,12,9,0,0,174.3333333,130,1.25,
순번,선수명,포지션,,,,,,,,,,,
1,배영섭,LF,0.303,92,244,218,39,66,11,1,6,26,19
2,김성훈,2B,0.318,47,166,151,27,48,4,2,0,18,12
3,김상수,SS,0.264,42,154,144,17,38,7,0,3,13,5
4,박한이,LF,0.263,68,134,118,14,31,9,0,4,14,13
5,권정웅,C,0.212,61,112,99,11,21,3,0,6,11,8
6,김정혁,3B,0.274,31,91,84,15,23,5,0,0,13,4
7,페트릭,P,0.314,6.18,25,3,10,0,0,134,87,1.69,
8,우규민,P,0.3,5.21,27,7,10,0,0,133,100,1.38,
9,백정현,P,0.279,4.38,35,8,4,0,3,100.6666667,94,1.45,
10,레나도,P,0.341,6.8,11,2,3,0,0,49,28,1.98,
11,최충연,P,0.312,7.61,42,3,8,0,3,84,74,1.88,
12,심창민,P,0.199,4.18,66,4,7,6,16,75.33333333,103,1.31,
13,장원삼,P,0.342,5.61,49,4,5,0,6,67.33333333,55,1.68,
14,권오준,P,0.281,5.14,45,1,2,0,1,56,55,1.27,
15,김대우,P,0.343,9.54,25,2,5,0,1,50,28,1.94,
16,김승현,P,0.298,5.77,41,0,3,0,0,43.66666667,37,1.95,
17,장필준,P,0.3,4.68,56,4,8,21,3,67.33333333,82,1.6,
